,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
134,Aljazeera,0.05018,0.3542,0.1448,0.0579,0.0869,0.0,0.0,https://www.aljazeera.com/news/2023/2/1/us-readying-new-2-billion-ukraine-weapons-package-report
135,Aljazeera,0.01394,0.29489,0.2565,0.0855,0.3633,0.0427,0.0,https://www.aljazeera.com/news/2023/1/31/russia-claims-village-near-embattled-ukrainian-city-of-bakhmut
136,Aljazeera,-0.02164,0.35808,0.1815,0.1296,0.1037,0.0259,0.0,https://www.aljazeera.com/news/2023/1/31/natos-stoltenberg-calls-for-stronger-partnership-with
137,Aljazeera,-0.03717,0.28616,0.4015,0.0365,0.292,0.0365,0.0,https://www.aljazeera.com/news/2023/1/31/russia-ukraine-war-list-of-key-events-day-342
138,Aljazeera,0.05062,0.25679,0.1883,0.0784,0.3452,0.0,0.1255,https://www.aljazeera.com/news/2023/1/30/ukraines-zelenskyy-says-russias-big-revenge-has-begun
139,Aljazeera,-0.05517,0.38604,0.1685,0.2696,0.2359,0.0,0.0,https://www.aljazeera.com/news/2023/1/30/croatian-president-slams-western-arms-to-ukraine
140,Aljazeera,0.01159,0.33546,0.1506,0.3389,0.0753,0.0,0.0377,https://www.aljazeera.com/news/2023/1/30/iran-summons-ukraine-envoy-over-drone-attack-comments
141,Aljazeera,0.07926,0.30172,0.2721,0.1511,0.2721,0.1511,0.0907,https://www.aljazeera.com/news/2023/1/30/uks-johnson-says-putin-threatened-him-with-missile-strike
142,Aljazeera,0.02833,0.21167,0.3399,0.0784,0.3399,0.0523,0.0523,https://www.aljazeera.com/news/2023/1/30/russia-ukraine-war-list-of-key-events-day-341
143,Aljazeera,-0.09596,0.23763,0.0776,0.0,0.1164,0.0,0.0388,https://www.aljazeera.com/news/2023/1/30/missile-hits-kharkiv-apartment-block-killing-at-least-one
144,Aljazeera,-0.0324,0.28606,0.1999,0.0286,0.3427,0.0,0.0571,https://www.aljazeera.com/news/2023/1/29/control-of-blahodatne-disputed-while-attacks-continue-in-ukraine
145,Aljazeera,0.01038,0.31024,0.2731,0.2731,0.2458,0.1365,0.0546,https://www.aljazeera.com/news/2023/1/29/germanys-scholz-says-he-will-continue-talks-with-putin
146,Aljazeera,0.00371,0.26987,0.1382,0.0,0.1036,0.0,0.0,https://www.aljazeera.com/news/2023/1/29/wanted-to-helppeople-mourn-british-volunteer-killed-in-ukraine
147,Aljazeera,0.08939,0.26133,0.2294,0.1434,0.3155,0.0,0.1434,https://www.aljazeera.com/news/2023/1/29/russia-ukraine-war-list-of-key-events-day-340
148,Aljazeera,0.06034,0.35661,0.152,0.0304,0.304,0.0,0.0,https://www.aljazeera.com/news/2023/1/29/north-korea-denies-arming-russias-wagner-group
